iter	Passed	Remaining
0	204	152380
1	378	140526
2	583	144419
3	779	144446
4	977	144616
5	1171	144311
6	1349	142318
7	1539	141871
8	1717	140486
9	1912	140575
10	2107	140623
11	2283	139469
12	2485	139937
13	2673	139586
14	2865	139442
15	3054	139150
16	3240	138767
17	3402	137419
18	3591	137216
19	3783	137144
20	3973	136999
21	4164	136875
22	4367	137109
23	4563	137109
24	4767	137313
25	4963	137255
26	5150	136955
27	5343	136820
28	5507	135980
29	5696	135771
30	5893	135729
31	6084	135565
32	6277	135436
33	6467	135237
34	6668	135277
35	6870	135308
36	7042	134751
37	7246	134823
38	7426	134437
39	7633	134541
40	7815	134194
41	8017	134191
42	8218	134173
43	8397	133793
44	8584	133530
45	8781	133440
46	8982	133403
47	9181	133319
48	9400	133524
49	9612	133617
50	9811	133511
51	10021	133557
52	10226	133524
53	10418	133313
54	10625	133307
55	10795	132819
56	10985	132600
57	11195	132610
58	11350	131973
59	11527	131610
60	11691	131097
61	11879	130861
62	12040	130338
63	12224	130073
64	12403	129755
65	12593	129564
66	12772	129250
67	12967	129100
68	13124	128585
69	13315	128401
70	13502	128178
71	13694	128008
72	13883	127800
73	14080	127678
74	14268	127462
75	14464	127328
76	14662	127200
77	14829	126810
78	14990	126372
79	15182	126207
80	15386	126129
81	15559	125806
82	15764	125737
83	15964	125628
84	16177	125613
85	16365	125405
86	16563	125275
87	16760	125132
88	16925	124755
89	17093	124403
90	17250	123973
91	17418	123636
92	17609	123454
93	17807	123328
94	17965	122921
95	18124	122525
96	18312	122331
97	18470	121944
98	18675	121863
99	18839	121513
100	19006	121187
101	19199	121034
102	19357	120656
103	19536	120410
104	19745	120350
105	19938	120193
106	20100	119853
107	20279	119609
108	20444	119291
109	20634	119114
110	20836	119012
111	21025	118833
112	21193	118535
113	21385	118373
114	21571	118172
115	21761	118002
116	21952	117830
117	22149	117692
118	22337	117509
119	22532	117355
120	22728	117211
121	22889	116886
122	23056	116595
123	23255	116466
124	23423	116179
125	23614	116012
126	23787	115752
127	23978	115585
128	24169	115415
129	24366	115273
130	24557	115100
131	24748	114929
132	24921	114675
133	25116	114525
134	25301	114324
135	25503	114203
136	25691	114016
137	25897	113909
138	26061	113620
139	26256	113467
140	26452	113315
141	26643	113141
142	26817	112897
143	27008	112724
144	27202	112560
145	27370	112295
146	27561	112119
147	27752	111948
148	27953	111815
149	28126	111570
150	28317	111393
151	28515	111246
152	28701	111055
153	28890	110872
154	29090	110731
155	29286	110575
156	29464	110351
157	29632	110088
158	29828	109934
159	30009	109722
160	30230	109657
161	30403	109415
162	30588	109217
163	30769	109007
164	30976	108888
165	31177	108746
166	31381	108612
167	31539	108322
168	31732	108154
169	31921	107970
170	32104	107765
171	32299	107602
172	32514	107506
173	32704	107322
174	32889	107126
175	33075	106931
176	33264	106745
177	33470	106616
178	33673	106477
179	33867	106304
180	34022	106016
181	34212	105832
182	34374	105566
183	34564	105383
184	34761	105222
185	34937	105001
186	35131	104829
187	35334	104686
188	35513	104473
189	35710	104312
190	35905	104144
191	36085	103932
192	36276	103755
193	36462	103560
194	36658	103396
195	36819	103131
196	37014	102963
197	37217	102816
198	37386	102578
199	37542	102303
200	37736	102133
201	37932	101968
202	38126	101795
203	38323	101631
204	38513	101449
205	38688	101227
206	38897	101096
207	39107	100966
208	39305	100801
209	39470	100555
210	39651	100351
211	39864	100226
212	40033	99989
213	40236	99838
214	40405	99603
215	40568	99356
216	40788	99246
217	41031	99190
218	41233	99035
219	41397	98789
220	41588	98609
221	41786	98443
222	41982	98273
223	42144	98024
224	42348	97872
225	42528	97664
226	42729	97507
227	42935	97359
228	43121	97163
229	43297	96949
230	43499	96791
231	43672	96569
232	43844	96345
233	44010	96108
234	44191	95904
235	44349	95651
236	44518	95424
237	44709	95242
238	44919	95102
239	45133	94967
240	45359	94860
241	45549	94675
242	45739	94490
243	45924	94294
244	46132	94147
245	46351	94022
246	46537	93829
247	46747	93684
248	46939	93501
249	47154	93364
250	47336	93164
251	47535	92995
252	47714	92787
253	47930	92652
254	48143	92510
255	48340	92337
256	48525	92142
257	48720	91965
258	48919	91795
259	49086	91566
260	49288	91400
261	49472	91203
262	49672	91034
263	49841	90810
264	50003	90572
265	50158	90322
266	50325	90095
267	50500	89883
268	50701	89716
269	50888	89525
270	51094	89368
271	51275	89166
272	51471	88990
273	51666	88813
274	51832	88585
275	52019	88394
276	52184	88166
277	52387	88003
278	52598	87852
279	52853	87773
280	53039	87581
281	53246	87422
282	53430	87225
283	53618	87035
284	53830	86884
285	54032	86715
286	54245	86565
287	54486	86459
288	54714	86332
289	54911	86154
290	55125	86002
291	55304	85797
292	55518	85646
293	55704	85450
294	55923	85307
295	56131	85145
296	56348	84996
297	56560	84840
298	56786	84705
299	56966	84500
300	57188	84357
301	57399	84198
302	57584	84001
303	57781	83820
304	57984	83649
305	58201	83498
306	58419	83347
307	58630	83187
308	58839	83023
309	59019	82818
310	59234	82661
311	59425	82472
312	59614	82279
313	59889	82204
314	60074	82006
315	60278	81833
316	60506	81692
317	60745	81567
318	61038	81511
319	61243	81339
320	61458	81178
321	61675	81020
322	61883	80851
323	62070	80653
324	62249	80445
325	62417	80224
326	62616	80042
327	62794	79832
328	62977	79631
329	63175	79447
330	63354	79240
331	63547	79051
332	63740	78861
333	63905	78638
334	64131	78489
335	64363	78346
336	64564	78166
337	64756	77975
338	64923	77754
339	65124	77574
340	65296	77360
341	65469	77147
342	65678	76975
343	65848	76758
344	66039	76567
345	66218	76362
346	66386	76143
347	66557	75929
348	66792	75787
349	67007	75622
350	67176	75405
351	67354	75200
352	67539	75000
353	67734	74814
354	67933	74631
355	68106	74419
356	68302	74233
357	68499	74048
358	68701	73868
359	68866	73649
360	69034	73432
361	69229	73245
362	69397	73029
363	69590	72840
364	69794	72663
365	70006	72492
366	70210	72315
367	70420	72143
368	70589	71929
369	70750	71706
370	70909	71483
371	71107	71298
372	71285	71094
373	71448	70875
374	71645	70690
375	71824	70487
376	72020	70301
377	72205	70104
378	72373	69890
379	72550	69686
380	72749	69503
381	72971	69342
382	73169	69157
383	73389	68994
384	73597	68818
385	73780	68619
386	73934	68393
387	74105	68184
388	74288	67986
389	74499	67813
390	74674	67607
391	74881	67431
392	75069	67238
393	75241	67029
394	75429	66836
395	75629	66653
396	75800	66444
397	75980	66244
398	76141	66027
399	76332	65837
400	76529	65651
401	76721	65461
402	76896	65256
403	77076	65057
404	77273	64871
405	77445	64664
406	77617	64458
407	77773	64239
408	77927	64018
409	78106	63818
410	78303	63633
411	78480	63431
412	78651	63226
413	78846	63039
414	79033	62846
415	79203	62639
416	79400	62454
417	79588	62262
418	79788	62078
419	79976	61886
420	80166	61696
421	80358	61506
422	80545	61313
423	80739	61126
424	80935	60939
425	81124	60748
426	81294	60542
427	81457	60331
428	81639	60135
429	81794	59919
430	81987	59730
431	82181	59543
432	82347	59336
433	82542	59149
434	82713	58945
435	82878	58736
436	83029	58519
437	83223	58332
438	83392	58127
439	83564	57925
440	83747	57730
441	83945	57546
442	84123	57348
443	84277	57134
444	84437	56923
445	84624	56732
446	84818	56545
447	84994	56346
448	85162	56142
449	85358	55957
450	85526	55753
451	85706	55557
452	85877	55356
453	86072	55169
454	86226	54957
455	86400	54757
456	86592	54570
457	86752	54362
458	86944	54174
459	87142	53990
460	87319	53793
461	87517	53608
462	87675	53400
463	87856	53206
464	88045	53016
